2020-06-24 13:34:33,764 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2020-06-24 13:34:33,812 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2020-06-24 13:34:33,813 INFO  Logger.cs: 73 - Commit version 1.5.1-0-g916b5db
2020-06-24 13:34:33,814 INFO  Logger.cs: 74 - Build version 1.5.7152.31018
2020-06-24 13:34:33,833 INFO  SwAddin.cs: 250 - Adding Assembly export to file menu
2020-06-24 13:34:33,833 INFO  SwAddin.cs: 253 - Adding Part export to file menu
2020-06-24 13:34:33,923 INFO  SwAddin.cs: 218 - Connecting plugin to SolidWorks
2020-06-24 14:44:12,007 INFO  SwAddin.cs: 271 - Assembly export called for file finger
2020-06-24 14:44:12,009 INFO  SwAddin.cs: 276 - Save is required
2020-06-24 14:44:12,010 INFO  SwAddin.cs: 290 - Saving assembly
2020-06-24 14:44:12,112 INFO  SwAddin.cs: 293 - Opening property manager
2020-06-24 14:44:12,144 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from finger
2020-06-24 14:44:12,153 INFO  ExportHelperExtension.cs: 1142 - Found 30 in finger
2020-06-24 14:44:12,153 INFO  ExportHelperExtension.cs: 1152 - Found 1 features of type [CoordSys] in finger
2020-06-24 14:44:12,154 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-06-24 14:44:12,154 INFO  ExportHelperExtension.cs: 1167 - 2 components to check
2020-06-24 14:44:12,155 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from finger2-1
2020-06-24 14:44:12,155 INFO  ExportHelperExtension.cs: 1142 - Found 23 in finger2-1
2020-06-24 14:44:12,156 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in finger2-1
2020-06-24 14:44:12,156 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from finger1-1
2020-06-24 14:44:12,156 INFO  ExportHelperExtension.cs: 1142 - Found 23 in finger1-1
2020-06-24 14:44:12,157 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in finger1-1
2020-06-24 14:44:12,161 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from finger
2020-06-24 14:44:12,161 INFO  ExportHelperExtension.cs: 1142 - Found 30 in finger
2020-06-24 14:44:12,162 INFO  ExportHelperExtension.cs: 1152 - Found 1 features of type [RefAxis] in finger
2020-06-24 14:44:12,162 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-06-24 14:44:12,162 INFO  ExportHelperExtension.cs: 1167 - 2 components to check
2020-06-24 14:44:12,162 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from finger2-1
2020-06-24 14:44:12,163 INFO  ExportHelperExtension.cs: 1142 - Found 23 in finger2-1
2020-06-24 14:44:12,163 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in finger2-1
2020-06-24 14:44:12,163 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from finger1-1
2020-06-24 14:44:12,163 INFO  ExportHelperExtension.cs: 1142 - Found 23 in finger1-1
2020-06-24 14:44:12,164 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in finger1-1
2020-06-24 14:44:12,323 INFO  SwAddin.cs: 316 - Loading config tree
2020-06-24 14:44:12,329 INFO  ExportPropertyManagerExtension.cs: 597 - Starting new configuration
2020-06-24 14:44:12,332 INFO  SwAddin.cs: 321 - Showing property manager
2020-06-24 14:44:18,306 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-06-24 14:44:23,778 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-06-24 14:44:25,293 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-06-24 14:45:41,146 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-06-24 14:45:52,046 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-06-24 14:45:56,318 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-06-24 14:46:06,194 INFO  ExportPropertyManager.cs: 456 - Configuration saved
2020-06-24 14:46:06,387 INFO  ExportHelperExtension.cs: 338 - Creating joint finger_Link2
2020-06-24 14:46:06,527 WARN  ExportHelperExtension.cs: 342 - Creating joint from parent base_link to child finger_Link2 failed
