Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-6.0375E-05,0.070392,-2.7291E-05,0,0,0,0.30535,0.00091481,-8.1214E-07,-2.4502E-07,0.00047819,-2.9378E-07,0.00091531,0,0,0,0,0,0,package://my_arm1/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://my_arm1/meshes/base_link.STL,,baselink0-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
Link1,1.96137584363305E-06,-0.222212352787342,0.000816123542945097,0,0,0,0.291961541598552,0.000914594002752276,-4.75323848270346E-09,-2.65601933734222E-08,0.000464854834994666,-3.04967389323766E-06,0.000789066457361888,0,0,0,0,0,0,package://my_arm1/meshes/Link1.STL,1,1,1,1,0,0,0,0,0,0,package://my_arm1/meshes/Link1.STL,,link1-1,Origin_Joint1,,Joint1,fixed,0,0,0,-1.5708,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,0
Link2,2.8222E-06,-0.35241,-0.0093552,0,0,0,0.27082,0.0013335,-6.8913E-08,1.1958E-08,0.00037992,0.00025535,0.0012777,0,0,0,0,0,0,package://my_arm1/meshes/Link2.STL,1,1,1,1,0,0,0,0,0,0,package://my_arm1/meshes/Link2.STL,,link2-1,Origin_Joint2,,Joint2,fixed,0,0,0,0,0,0,Link1,0,0,0,,,,,,,,,,,,0
Link3,-6.2878E-07,-0.52531,0.0023892,0,0,0,0.2313,0.0006961,3.0943E-08,-1.782E-08,0.0003123,1.2171E-05,0.0006322,0,0,0,0,0,0,package://my_arm1/meshes/Link3.STL,1,1,1,1,0,0,0,0,0,0,package://my_arm1/meshes/Link3.STL,,link3-1,Origin_Joint3,,Joint3,fixed,0,0,0,0,0,0,Link2,0,0,0,,,,,,,,,,,,0
Link4,-1.6491E-07,-0.64635,-0.0092998,0,0,0,0.20172,0.00095524,-2.5066E-08,1.7135E-08,0.00025391,0.00017193,0.0009263,0,0,0,0,0,0,package://my_arm1/meshes/Link4.STL,1,1,1,1,0,0,0,0,0,0,package://my_arm1/meshes/Link4.STL,,link4-1,Origin_Joint4,,Joint4,fixed,0,0,0,0,0,0,Link3,0,0,0,,,,,,,,,,,,0
Link5,0.00033649,-0.81508,0.0030057,0,0,0,0.20121,0.00066642,2.7963E-06,-4.7253E-06,0.00021696,2.2503E-05,0.00062818,0,0,0,0,0,0,package://my_arm1/meshes/Link5.STL,1,1,1,1,0,0,0,0,0,0,package://my_arm1/meshes/Link5.STL,,link5-1,Origin_Joint5,,Joint5,fixed,0,0,0,0,0,0,Link4,0,0,0,,,,,,,,,,,,0
Link6,-0.00087914,-0.95604,-0.0069646,0,0,0,0.18667,0.00082748,1.5115E-05,-1.8967E-06,0.00020369,0.00012218,0.00081187,0,0,0,0,0,0,package://my_arm1/meshes/Link6.STL,1,1,1,1,0,0,0,0,0,0,package://my_arm1/meshes/Link6.STL,,link6-1,Origin_Joint6,,Joint6,fixed,0,0,0,0,0,0,Link5,0,0,0,,,,,,,,,,,,0
Link7,-2.52223988738987E-09,2.90492112314018E-08,-0.0108246134296905,0,0,0,0.104138659894444,5.11629892433147E-05,2.23358152434922E-21,-2.04021055533217E-20,5.11629892433146E-05,1.99749249859468E-19,9.97195556626972E-05,0,0,0,0,0,0,package://my_arm1/meshes/Link7.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://my_arm1/meshes/Link7.STL,,end_link-1,Origin_Joint7,,Joint7,fixed,0,-1.034,0,1.5708,0,-3.1416,Link6,0,0,0,,,,,,,,,,,,0
sensor_link,1.234E-08,0.011516,-1.0353E-05,0,0,0,0.10567,7.1431E-05,-1.4557E-19,4.0658E-20,0.00013366,9.8537E-09,7.1469E-05,0,0,0,0,0,0,package://my_arm1/meshes/sensor_link.STL,0.79216,0.79216,0.79216,1,0,0,0,0,0,0,package://my_arm1/meshes/sensor_link.STL,,sensor_link-1,Origin_sensor_joint,,sensor_joint,fixed,0,0,-0.017,-1.5708,0,0.5236,Link7,0,0,0,,,,,,,,,,,,0
actuator,-2.5222E-09,-2.9049E-08,0.053778,0,0,0,0.1161,0.0001667,-1.085E-20,-2.7658E-20,0.0001667,-1.1681E-19,6.604E-05,0,0,0,0,0,0,package://my_arm1/meshes/actuator.STL,1,1,1,1,0,0,0,0,0,0,package://my_arm1/meshes/actuator.STL,,actuator-1,坐标系8,基准轴8,actuator_joint,fixed,0,0,0,-1.5708,0.5236,0,sensor_link,0,0,0,,,,,,,,,,,,
