// SpatialAnalyzer SA 2018.07.11_43856 ( x64 )  
// ???????? 'A::WORLD'
// AXES = CARTESIAN: X,  Y,  Z (mm)
// Point,  X,  Y,  Z

P0,  -3003.701321,  1205.359072,  -185.119503
P1,  -2920.336564,  1121.844806,  -303.491297
P2,  -2819.166691,  1248.405807,  -303.003378
P3,  -2898.445759,  1330.266774,  -186.545726
P4,  -2912.422619,  1224.654221,  -245.207736
P5,  -3003.712598,  1205.376241,  -185.112207
P6,  -2920.351222,  1121.856244,  -303.480898
P7,  -2819.171769,  1248.424806,  -303.001505
P8,  -2898.454862,  1330.283128,  -186.539877
P9,  -2912.414760,  1224.697695,  -245.174913
P10,  -3003.728644,  1205.381668,  -185.110399
P11,  -2920.340658,  1121.850627,  -303.482229
P12,  -2819.164956,  1248.425559,  -302.993737
P13,  -2898.460166,  1330.293148,  -186.535557
P14,  -2912.420418,  1224.668567,  -245.186153
P15,  -3003.731858,  1205.385493,  -185.105171
P16,  -2920.348754,  1121.849410,  -303.479603
P17,  -2819.167011,  1248.431148,  -302.988444
P18,  -2898.463196,  1330.290643,  -186.532210
P19,  -2912.418374,  1224.717002,  -245.146105
P20,  -3003.728311,  1205.388309,  -185.099569
P21,  -2920.359747,  1121.853304,  -303.460541
P22,  -2819.173894,  1248.422878,  -302.981559
P23,  -2898.462677,  1330.288742,  -186.522594
P24,  -2912.413766,  1224.708393,  -245.152747
P25,  -3003.736152,  1205.383712,  -185.084896
P26,  -2920.352155,  1121.856376,  -303.463100
P27,  -2819.175162,  1248.422703,  -302.979391
P28,  -2898.465198,  1330.298745,  -186.521828
P29,  -2912.419727,  1224.661897,  -245.181738
P30,  -3003.744151,  1205.392313,  -185.083582
P31,  -2920.346242,  1121.846249,  -303.465244
P32,  -2819.176165,  1248.429863,  -302.972458
P33,  -2898.470909,  1330.301178,  -186.517191
P34,  -2912.418859,  1224.688861,  -245.157177
P35,  -2912.380142,  1224.403550,  -244.742518
P36,  -3003.750932,  1205.393951,  -185.086618
P37,  -2920.354254,  1121.852395,  -303.451956
P38,  -2819.174621,  1248.427360,  -302.968959
P39,  -2898.472826,  1330.302243,  -186.508303
P40,  -3003.745174,  1205.388371,  -185.074089
P41,  -2920.362805,  1121.857503,  -303.450326
P42,  -2819.175143,  1248.436190,  -302.961848
P43,  -2898.469234,  1330.299692,  -186.496928
P44,  -2912.420543,  1224.738305,  -245.117388
P45,  -3003.744110,  1205.391654,  -185.070350
P46,  -2920.370122,  1121.853738,  -303.445838
P47,  -2819.173697,  1248.438492,  -302.957712
P48,  -2898.467968,  1330.307716,  -186.494689
P49,  -2912.421769,  1224.710555,  -245.123787
P50,  -3003.755958,  1205.395692,  -185.068534
P51,  -2920.361200,  1121.853579,  -303.444498
P52,  -2819.178178,  1248.439732,  -302.953696
P53,  -2898.472919,  1330.317629,  -186.493055
P54,  -2912.432727,  1224.663291,  -245.154250
P55,  -2915.415135,  1223.174591,  -242.774201
P56,  -3003.753465,  1205.403475,  -185.061549
P57,  -2920.364298,  1121.852867,  -303.444650
P58,  -2819.172389,  1248.433886,  -302.952833
P59,  -2898.474826,  1330.317680,  -186.487118
P60,  -3003.756099,  1205.398621,  -185.050036
P61,  -2920.364788,  1121.858850,  -303.441936
P62,  -2819.174728,  1248.440276,  -302.951295
P63,  -2898.467091,  1330.313488,  -186.488417
P64,  -2912.435395,  1224.707391,  -245.125580
P65,  -3003.755211,  1205.394120,  -185.050716
P66,  -2920.372815,  1121.862971,  -303.425748
P67,  -2819.181252,  1248.446643,  -302.942289
P68,  -2898.470501,  1330.316357,  -186.482494
P69,  -2912.433152,  1224.714587,  -245.119102
P70,  -3003.761048,  1205.400579,  -185.053798
P71,  -2920.372847,  1121.862456,  -303.424755
P72,  -2819.177405,  1248.443406,  -302.945405
P73,  -2898.478083,  1330.325851,  -186.483869
P74,  -2912.434255,  1224.711346,  -245.115167
P75,  -3003.768758,  1205.403157,  -185.045814
P76,  -2920.370985,  1121.854355,  -303.424734
P77,  -2819.182111,  1248.445160,  -302.929007
P78,  -2898.479811,  1330.325512,  -186.470920
P79,  -2912.446519,  1224.676650,  -245.139238
P80,  -3003.763307,  1205.406787,  -185.039934
P81,  -2920.373878,  1121.856057,  -303.412258
P82,  -2819.175432,  1248.448102,  -302.933130
P83,  -2898.474115,  1330.321941,  -186.464032
P84,  -2912.446702,  1224.701714,  -245.110935
P85,  -3003.758471,  1205.403553,  -185.034520
P86,  -2920.381533,  1121.861300,  -303.407948
P87,  -2819.181976,  1248.447329,  -302.929897
P88,  -2898.475359,  1330.318948,  -186.460011
P89,  -2912.440636,  1224.733891,  -245.090237
P90,  -3003.758204,  1205.403067,  -185.033938
P91,  -2920.376804,  1121.857075,  -303.412237
P92,  -2819.184068,  1248.447912,  -302.928975
P93,  -2898.474253,  1330.332181,  -186.459997
P94,  -2912.447697,  1224.693583,  -245.121426
P95,  -3003.766762,  1205.405300,  -185.021190
P96,  -2920.373697,  1121.851377,  -303.407164
P97,  -2819.182951,  1248.444961,  -302.920456
P98,  -2898.480740,  1330.330337,  -186.462383
P99,  -2912.449943,  1224.679131,  -245.123649
P100,  -3003.766031,  1205.406038,  -185.027221
P101,  -2920.375899,  1121.861655,  -303.407471
P102,  -2819.185127,  1248.434610,  -302.923146
P103,  -2898.483236,  1330.333612,  -186.448925
P104,  -2912.445420,  1224.754138,  -245.076778
P105,  -3003.766551,  1205.403643,  -185.014094
P106,  -2920.375657,  1121.862110,  -303.400544
P107,  -2819.183057,  1248.445726,  -302.911082
P108,  -2898.478035,  1330.333035,  -186.448128
P109,  -2912.449407,  1224.729027,  -245.091127
P110,  -2912.363037,  1224.436319,  -244.687407
P111,  -3003.758819,  1205.410258,  -185.013821
P112,  -2920.380695,  1121.864574,  -303.398846
P113,  -2819.192333,  1248.451997,  -302.913172
P114,  -2898.475524,  1330.330770,  -186.440989
P115,  -2912.504487,  1224.332093,  -244.625802
P116,  -3003.765110,  1205.410906,  -184.994754
P117,  -2920.372399,  1121.862851,  -303.385222
P118,  -2819.184310,  1248.449238,  -302.912524
P119,  -2898.483602,  1330.339070,  -186.446402
P120,  -3003.771739,  1205.407456,  -185.000881
P121,  -2920.379293,  1121.868217,  -303.399973
P122,  -2819.184817,  1248.453316,  -302.909801
P123,  -2898.483761,  1330.342110,  -186.445855
P124,  -2912.452602,  1224.752617,  -245.060804
P125,  -3003.770852,  1205.408846,  -185.003217
P126,  -2920.381953,  1121.866819,  -303.381962
P127,  -2819.186185,  1248.449629,  -302.903417
P128,  -2898.480191,  1330.348952,  -186.443365
P129,  -2912.451501,  1224.720245,  -245.094096
P130,  -2912.585424,  1224.288579,  -244.588367
P131,  -3003.765539,  1205.414012,  -184.998532
P132,  -2920.388147,  1121.862407,  -303.389254
P133,  -2819.190318,  1248.455373,  -302.904047
P134,  -2898.482503,  1330.342541,  -186.433748
P135,  -3003.771723,  1205.416075,  -184.998867
P136,  -2920.380444,  1121.861089,  -303.383597
P137,  -2819.188332,  1248.466832,  -302.904588
P138,  -2898.489671,  1330.353608,  -186.422256
P139,  -2912.443423,  1224.742452,  -245.070735
P140,  -3003.776715,  1205.415055,  -184.994419
